NO,DATE,TIME,FUNCTION,RANGE,SPEED,VALUE
138,2021-07-31,07:54:59:526723,DC VOLTAGE,5V,MEDIUM,3.994026
139,2021-07-31,07:55:01:532708,DC VOLTAGE,5V,MEDIUM,3.9953
140,2021-07-31,07:55:03:534923,DC VOLTAGE,5V,MEDIUM,3.995709
141,2021-07-31,07:55:05:538642,DC VOLTAGE,5V,MEDIUM,3.996463
142,2021-07-31,07:55:07:546686,DC VOLTAGE,5V,MEDIUM,3.997684
143,2021-07-31,07:55:09:562648,DC VOLTAGE,5V,MEDIUM,3.998075
144,2021-07-31,07:55:11:571522,DC VOLTAGE,5V,MEDIUM,3.998906
145,2021-07-31,07:55:13:584710,DC VOLTAGE,5V,MEDIUM,4.000084
146,2021-07-31,07:55:15:586988,DC VOLTAGE,5V,MEDIUM,4.000407
147,2021-07-31,07:55:17:596921,DC VOLTAGE,5V,MEDIUM,4.001232
148,2021-07-31,07:55:19:605657,DC VOLTAGE,5V,MEDIUM,4.002437
149,2021-07-31,07:55:21:616862,DC VOLTAGE,5V,MEDIUM,4.003208
150,2021-07-31,07:55:23:633700,DC VOLTAGE,5V,MEDIUM,4.003595
151,2021-07-31,07:55:25:636089,DC VOLTAGE,5V,MEDIUM,4.004712
152,2021-07-31,07:55:27:639641,DC VOLTAGE,5V,MEDIUM,4.005478
153,2021-07-31,07:55:29:646804,DC VOLTAGE,5V,MEDIUM,4.005898
154,2021-07-31,07:55:31:652735,DC VOLTAGE,5V,MEDIUM,4.006621
155,2021-07-31,07:55:33:655746,DC VOLTAGE,5V,MEDIUM,4.007683
156,2021-07-31,07:55:35:658030,DC VOLTAGE,5V,MEDIUM,4.008094
157,2021-07-31,07:55:37:671269,DC VOLTAGE,5V,MEDIUM,4.008826
158,2021-07-31,07:55:39:681594,DC VOLTAGE,5V,MEDIUM,4.009973
159,2021-07-31,07:55:41:695523,DC VOLTAGE,5V,MEDIUM,4.010344
160,2021-07-31,07:55:43:711089,DC VOLTAGE,5V,MEDIUM,4.011016
161,2021-07-31,07:55:45:722739,DC VOLTAGE,5V,MEDIUM,4.012131
162,2021-07-31,07:55:47:739697,DC VOLTAGE,5V,MEDIUM,4.012531
163,2021-07-31,07:55:49:752628,DC VOLTAGE,5V,MEDIUM,4.013245
164,2021-07-31,07:55:51:769145,DC VOLTAGE,5V,MEDIUM,4.014255
165,2021-07-31,07:55:53:777267,DC VOLTAGE,5V,MEDIUM,4.014648
166,2021-07-31,07:55:55:782734,DC VOLTAGE,5V,MEDIUM,4.015341
167,2021-07-31,07:55:57:799332,DC VOLTAGE,5V,MEDIUM,4.016383
168,2021-07-31,07:55:59:807285,DC VOLTAGE,5V,MEDIUM,4.017071
169,2021-07-31,07:56:01:812662,DC VOLTAGE,5V,MEDIUM,4.017428
170,2021-07-31,07:56:03:817644,DC VOLTAGE,5V,MEDIUM,4.018462
171,2021-07-31,07:56:05:828761,DC VOLTAGE,5V,MEDIUM,4.019197
172,2021-07-31,07:56:07:840688,DC VOLTAGE,5V,MEDIUM,4.019482
173,2021-07-31,07:56:09:857704,DC VOLTAGE,5V,MEDIUM,4.020503
174,2021-07-31,07:56:11:866856,DC VOLTAGE,5V,MEDIUM,4.021218
175,2021-07-31,07:56:13:873721,DC VOLTAGE,5V,MEDIUM,4.021559
176,2021-07-31,07:56:15:887647,DC VOLTAGE,5V,MEDIUM,4.022556
177,2021-07-31,07:56:17:904766,DC VOLTAGE,5V,MEDIUM,4.023238
178,2021-07-31,07:56:19:916754,DC VOLTAGE,5V,MEDIUM,4.023545
179,2021-07-31,07:56:21:931488,DC VOLTAGE,5V,MEDIUM,4.02458
180,2021-07-31,07:56:23:946747,DC VOLTAGE,5V,MEDIUM,4.025293
181,2021-07-31,07:56:25:952664,DC VOLTAGE,5V,MEDIUM,4.025569
182,2021-07-31,07:56:27:955824,DC VOLTAGE,5V,MEDIUM,4.026548
183,2021-07-31,07:56:29:967642,DC VOLTAGE,5V,MEDIUM,4.027225
184,2021-07-31,07:56:31:974615,DC VOLTAGE,5V,MEDIUM,4.027553
185,2021-07-31,07:56:33:978472,DC VOLTAGE,5V,MEDIUM,4.02828
186,2021-07-31,07:56:35:984787,DC VOLTAGE,5V,MEDIUM,4.029185
187,2021-07-31,07:56:37:996880,DC VOLTAGE,5V,MEDIUM,4.029507
188,2021-07-31,07:56:40:000794,DC VOLTAGE,5V,MEDIUM,4.030198
189,2021-07-31,07:56:42:016742,DC VOLTAGE,5V,MEDIUM,4.031158
190,2021-07-31,07:56:44:033656,DC VOLTAGE,5V,MEDIUM,4.031443
191,2021-07-31,07:56:46:042093,DC VOLTAGE,5V,MEDIUM,4.032054
192,2021-07-31,07:56:48:058753,DC VOLTAGE,5V,MEDIUM,4.033036
193,2021-07-31,07:56:50:072743,DC VOLTAGE,5V,MEDIUM,4.033689
194,2021-07-31,07:56:52:081529,DC VOLTAGE,5V,MEDIUM,4.033988
195,2021-07-31,07:56:54:096945,DC VOLTAGE,5V,MEDIUM,4.034883
196,2021-07-31,07:56:56:100960,DC VOLTAGE,5V,MEDIUM,4.035531
197,2021-07-31,07:56:58:109654,DC VOLTAGE,5V,MEDIUM,4.035814
198,2021-07-31,07:57:00:115743,DC VOLTAGE,5V,MEDIUM,4.036776
199,2021-07-31,07:57:02:127752,DC VOLTAGE,5V,MEDIUM,4.037337
200,2021-07-31,07:57:04:137651,DC VOLTAGE,5V,MEDIUM,4.037641
201,2021-07-31,07:57:06:142761,DC VOLTAGE,5V,MEDIUM,4.038578
202,2021-07-31,07:57:08:151623,DC VOLTAGE,5V,MEDIUM,4.039226
203,2021-07-31,07:57:10:158206,DC VOLTAGE,5V,MEDIUM,4.039514
204,2021-07-31,07:57:12:173766,DC VOLTAGE,5V,MEDIUM,4.040358
205,2021-07-31,07:57:14:179733,DC VOLTAGE,5V,MEDIUM,4.040989
206,2021-07-31,07:57:16:196549,DC VOLTAGE,5V,MEDIUM,4.041554
207,2021-07-31,07:57:18:205720,DC VOLTAGE,5V,MEDIUM,4.04247
208,2021-07-31,07:57:20:220383,DC VOLTAGE,5V,MEDIUM,4.04274
209,2021-07-31,07:57:22:225679,DC VOLTAGE,5V,MEDIUM,4.043313
210,2021-07-31,07:57:24:239619,DC VOLTAGE,5V,MEDIUM,4.044228
211,2021-07-31,07:57:26:246823,DC VOLTAGE,5V,MEDIUM,4.044559
212,2021-07-31,07:57:28:250615,DC VOLTAGE,5V,MEDIUM,4.045076
213,2021-07-31,07:57:30:253639,DC VOLTAGE,5V,MEDIUM,4.045361
214,2021-07-31,07:57:32:257322,DC VOLTAGE,5V,MEDIUM,4.04625
215,2021-07-31,07:57:34:266382,DC VOLTAGE,5V,MEDIUM,4.046823
216,2021-07-31,07:57:36:279950,DC VOLTAGE,5V,MEDIUM,4.047122
217,2021-07-31,07:57:38:297325,DC VOLTAGE,5V,MEDIUM,4.047938
218,2021-07-31,07:57:40:305779,DC VOLTAGE,5V,MEDIUM,4.04852
219,2021-07-31,07:57:42:322640,DC VOLTAGE,5V,MEDIUM,4.048814
220,2021-07-31,07:57:44:335758,DC VOLTAGE,5V,MEDIUM,4.049718
221,2021-07-31,07:57:46:352753,DC VOLTAGE,5V,MEDIUM,4.050246
222,2021-07-31,07:57:48:366898,DC VOLTAGE,5V,MEDIUM,4.050517
223,2021-07-31,07:57:50:383882,DC VOLTAGE,5V,MEDIUM,4.051636
224,2021-07-31,07:57:52:395904,DC VOLTAGE,5V,MEDIUM,4.051898
225,2021-07-31,07:57:54:411086,DC VOLTAGE,5V,MEDIUM,4.052483
226,2021-07-31,07:57:56:422757,DC VOLTAGE,5V,MEDIUM,4.053283
227,2021-07-31,07:57:58:436715,DC VOLTAGE,5V,MEDIUM,4.053554
228,2021-07-31,07:58:00:445655,DC VOLTAGE,5V,MEDIUM,4.054119
229,2021-07-31,07:58:02:452658,DC VOLTAGE,5V,MEDIUM,4.054972
230,2021-07-31,07:58:04:466776,DC VOLTAGE,5V,MEDIUM,4.05521
231,2021-07-31,07:58:06:482735,DC VOLTAGE,5V,MEDIUM,4.055729
232,2021-07-31,07:58:08:494247,DC VOLTAGE,5V,MEDIUM,4.056569
233,2021-07-31,07:58:10:509672,DC VOLTAGE,5V,MEDIUM,4.056871
234,2021-07-31,07:58:12:526782,DC VOLTAGE,5V,MEDIUM,4.05742
235,2021-07-31,07:58:14:542667,DC VOLTAGE,5V,MEDIUM,4.058177
236,2021-07-31,07:58:16:548647,DC VOLTAGE,5V,MEDIUM,4.058408
237,2021-07-31,07:58:18:561598,DC VOLTAGE,5V,MEDIUM,4.058999
238,2021-07-31,07:58:20:576780,DC VOLTAGE,5V,MEDIUM,4.059814
239,2021-07-31,07:58:22:583792,DC VOLTAGE,5V,MEDIUM,4.060057
240,2021-07-31,07:58:24:597075,DC VOLTAGE,5V,MEDIUM,4.060558
241,2021-07-31,07:58:26:600038,DC VOLTAGE,5V,MEDIUM,4.061371
242,2021-07-31,07:58:28:604650,DC VOLTAGE,5V,MEDIUM,4.061636
243,2021-07-31,07:58:30:619192,DC VOLTAGE,5V,MEDIUM,4.062185
244,2021-07-31,07:58:32:624716,DC VOLTAGE,5V,MEDIUM,4.062409
245,2021-07-31,07:58:34:630585,DC VOLTAGE,5V,MEDIUM,4.063437
246,2021-07-31,07:58:36:646869,DC VOLTAGE,5V,MEDIUM,4.063718
247,2021-07-31,07:58:38:654631,DC VOLTAGE,5V,MEDIUM,4.06427
248,2021-07-31,07:58:40:656373,DC VOLTAGE,5V,MEDIUM,4.064989
249,2021-07-31,07:58:42:658627,DC VOLTAGE,5V,MEDIUM,4.065245
250,2021-07-31,07:58:44:661649,DC VOLTAGE,5V,MEDIUM,4.06579
251,2021-07-31,07:58:46:671558,DC VOLTAGE,5V,MEDIUM,4.066578
252,2021-07-31,07:58:48:679979,DC VOLTAGE,5V,MEDIUM,4.066827
253,2021-07-31,07:58:50:696423,DC VOLTAGE,5V,MEDIUM,4.067277
254,2021-07-31,07:58:52:711929,DC VOLTAGE,5V,MEDIUM,4.068069
255,2021-07-31,07:58:54:722752,DC VOLTAGE,5V,MEDIUM,4.068325
256,2021-07-31,07:58:56:730635,DC VOLTAGE,5V,MEDIUM,4.068856
257,2021-07-31,07:58:58:741604,DC VOLTAGE,5V,MEDIUM,4.06955
258,2021-07-31,07:59:00:749967,DC VOLTAGE,5V,MEDIUM,4.06982
259,2021-07-31,07:59:02:764719,DC VOLTAGE,5V,MEDIUM,4.070342
260,2021-07-31,07:59:04:781531,DC VOLTAGE,5V,MEDIUM,4.071111
261,2021-07-31,07:59:06:796191,DC VOLTAGE,5V,MEDIUM,4.071357
262,2021-07-31,07:59:08:805753,DC VOLTAGE,5V,MEDIUM,4.071818
263,2021-07-31,07:59:10:821626,DC VOLTAGE,5V,MEDIUM,4.072572
264,2021-07-31,07:59:12:834288,DC VOLTAGE,5V,MEDIUM,4.073057
265,2021-07-31,07:59:14:848566,DC VOLTAGE,5V,MEDIUM,4.07334
266,2021-07-31,07:59:16:854712,DC VOLTAGE,5V,MEDIUM,4.074047
267,2021-07-31,07:59:18:864745,DC VOLTAGE,5V,MEDIUM,4.074528
268,2021-07-31,07:59:20:874048,DC VOLTAGE,5V,MEDIUM,4.074801
269,2021-07-31,07:59:22:889042,DC VOLTAGE,5V,MEDIUM,4.075548
270,2021-07-31,07:59:24:895045,DC VOLTAGE,5V,MEDIUM,4.076002
271,2021-07-31,07:59:26:902701,DC VOLTAGE,5V,MEDIUM,4.076238
272,2021-07-31,07:59:28:911127,DC VOLTAGE,5V,MEDIUM,4.076982
273,2021-07-31,07:59:30:928038,DC VOLTAGE,5V,MEDIUM,4.077446
274,2021-07-31,07:59:32:936787,DC VOLTAGE,5V,MEDIUM,4.077741
275,2021-07-31,07:59:34:952625,DC VOLTAGE,5V,MEDIUM,4.078169
276,2021-07-31,07:59:36:955749,DC VOLTAGE,5V,MEDIUM,4.078874
277,2021-07-31,07:59:38:962716,DC VOLTAGE,5V,MEDIUM,4.07915
278,2021-07-31,07:59:40:967709,DC VOLTAGE,5V,MEDIUM,4.07961
279,2021-07-31,07:59:42:971609,DC VOLTAGE,5V,MEDIUM,4.080303
280,2021-07-31,07:59:44:987294,DC VOLTAGE,5V,MEDIUM,4.080534
281,2021-07-31,07:59:46:993619,DC VOLTAGE,5V,MEDIUM,4.081011
282,2021-07-31,07:59:49:002712,DC VOLTAGE,5V,MEDIUM,4.081731
283,2021-07-31,07:59:51:007506,DC VOLTAGE,5V,MEDIUM,4.082221
284,2021-07-31,07:59:53:012639,DC VOLTAGE,5V,MEDIUM,4.082428
285,2021-07-31,07:59:55:026420,DC VOLTAGE,5V,MEDIUM,4.083116
286,2021-07-31,07:59:57:043708,DC VOLTAGE,5V,MEDIUM,4.083591
287,2021-07-31,07:59:59:053725,DC VOLTAGE,5V,MEDIUM,4.08383
288,2021-07-31,08:00:01:062670,DC VOLTAGE,5V,MEDIUM,4.084486
289,2021-07-31,08:00:03:069715,DC VOLTAGE,5V,MEDIUM,4.084964
290,2021-07-31,08:00:05:079799,DC VOLTAGE,5V,MEDIUM,4.085182
291,2021-07-31,08:00:07:091539,DC VOLTAGE,5V,MEDIUM,4.085908
292,2021-07-31,08:00:09:101263,DC VOLTAGE,5V,MEDIUM,4.086407
293,2021-07-31,08:00:11:108745,DC VOLTAGE,5V,MEDIUM,4.086599
294,2021-07-31,08:00:13:122662,DC VOLTAGE,5V,MEDIUM,4.087289
295,2021-07-31,08:00:15:131615,DC VOLTAGE,5V,MEDIUM,4.087748
296,2021-07-31,08:00:17:137623,DC VOLTAGE,5V,MEDIUM,4.087984
297,2021-07-31,08:00:19:151453,DC VOLTAGE,5V,MEDIUM,4.088603
298,2021-07-31,08:00:21:153698,DC VOLTAGE,5V,MEDIUM,4.089102
299,2021-07-31,08:00:23:165725,DC VOLTAGE,5V,MEDIUM,4.08931
300,2021-07-31,08:00:25:180639,DC VOLTAGE,5V,MEDIUM,4.089797
301,2021-07-31,08:00:27:192578,DC VOLTAGE,5V,MEDIUM,4.090457
302,2021-07-31,08:00:29:204765,DC VOLTAGE,5V,MEDIUM,4.090925
303,2021-07-31,08:00:31:211510,DC VOLTAGE,5V,MEDIUM,4.091147
304,2021-07-31,08:00:33:227669,DC VOLTAGE,5V,MEDIUM,4.09182
305,2021-07-31,08:00:35:235674,DC VOLTAGE,5V,MEDIUM,4.092315
306,2021-07-31,08:00:37:242627,DC VOLTAGE,5V,MEDIUM,4.09247
307,2021-07-31,08:00:39:247628,DC VOLTAGE,5V,MEDIUM,4.093155
308,2021-07-31,08:00:41:259655,DC VOLTAGE,5V,MEDIUM,4.093622
309,2021-07-31,08:00:43:268772,DC VOLTAGE,5V,MEDIUM,4.093839
310,2021-07-31,08:00:45:272653,DC VOLTAGE,5V,MEDIUM,4.094506
311,2021-07-31,08:00:47:289741,DC VOLTAGE,5V,MEDIUM,4.09492
312,2021-07-31,08:00:49:292585,DC VOLTAGE,5V,MEDIUM,4.095158
313,2021-07-31,08:00:51:301491,DC VOLTAGE,5V,MEDIUM,4.095819
314,2021-07-31,08:00:53:316477,DC VOLTAGE,5V,MEDIUM,4.096263
315,2021-07-31,08:00:55:328201,DC VOLTAGE,5V,MEDIUM,4.096447
316,2021-07-31,08:00:57:344744,DC VOLTAGE,5V,MEDIUM,4.097111
317,2021-07-31,08:00:59:348715,DC VOLTAGE,5V,MEDIUM,4.097559
318,2021-07-31,08:01:01:355663,DC VOLTAGE,5V,MEDIUM,4.097763
319,2021-07-31,08:01:03:366859,DC VOLTAGE,5V,MEDIUM,4.09859
320,2021-07-31,08:01:05:383735,DC VOLTAGE,5V,MEDIUM,4.098811
321,2021-07-31,08:01:07:401527,DC VOLTAGE,5V,MEDIUM,4.099261
322,2021-07-31,08:01:09:409179,DC VOLTAGE,5V,MEDIUM,4.09991
323,2021-07-31,08:01:11:424046,DC VOLTAGE,5V,MEDIUM,4.100158
324,2021-07-31,08:01:13:433757,DC VOLTAGE,5V,MEDIUM,4.100519
